,gameid,gamelength,result,k,d,a,teamkills,teamdeaths,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
gameid,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamelength,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5522494768902163,,,,,0.5123821476136816,,,0.5959480200064051,,,,0.8285935009434693,,0.8426770681075274,,,,,,,,,,,,,,,
result,,,1.0,,,0.5441482873589508,0.6509511209379362,-0.650719374359639,,,,,,,,,,,,,,,,,,,,,,,,,,0.8159655261847629,-0.8159655261847633,,,,,,,,,,,,,,,0.5023353663135229,,0.5248922492363883,,,,,,,,,,,,,,
k,,,,1.0,,,0.525873184392426,,,,,,0.9379140523773059,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5977193166239074,0.6546680606529038,,,,,,,,0.5108758659556117,0.7095573549652254,,,,,,,,,,,0.5202254933032382,,,,,
d,,,,,1.0,,,0.7143465044598863,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5077301435750299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,0.5441482873589508,,,1.0,0.778399833723571,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5804120967239899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teamkills,,,0.6509511209379362,0.525873184392426,,0.778399833723571,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7117646256425091,-0.5124791336559175,0.5013172111311317,,0.522881379388925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teamdeaths,,,-0.650719374359639,,0.7143465044598863,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5138872047789044,0.7107617107455724,,,,0.5218482300811804,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbassist,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbvictim,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbtime,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpm,,,,0.9379140523773059,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5721709813498598,,,,,,,,,0.7086658102247556,,,,,,,,,,,0.5496856020271227,,,,,
okpm,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5496856020271226,,,,
ckpm,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd,,,,,,,,,,,,,,,,1.0,,,,0.6427706905776576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5495102271797903,0.5436932803084514,,,,,,,,,,,
fdtime,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teamdragkills,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.583660488305078,,,,,,,,,,,,,,,0.5348381426684162,,,,,,,,,,,,,,,,,
oppdragkills,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.5836604883050782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elementals,,,,,,,,,,,,,,,,0.6427706905776576,,,,1.0,,0.6138514375029475,,0.5223330863324043,0.5578916017565678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5209263924247437,,,,,,,,,,,,
oppelementals,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5165177905434142,,,,,,,,,,,
firedrakes,,,,,,,,,,,,,,,,,,,,0.6138514375029475,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waterdrakes,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earthdrakes,,,,,,,,,,,,,,,,,,,,0.5223330863324043,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airdrakes,,,,,,,,,,,,,,,,,,,,0.5578916017565678,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elders,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oppelders,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herald,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heraldtime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.6862745098039216,0.7647058823529411,0.5711758683293344,-0.5711758683293339,,,,,,,,,,,,,,,,,0.5209099068815178,,,,,,,,,,,0.5077278137621419,,,
fttime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firstmidouter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6862745098039216,,1.0,0.6862745098039216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firsttothreetowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7647058823529411,,0.6862745098039216,1.0,0.6527724209478104,-0.6527724209478101,0.5675333074043414,,,,,,,,,,,,,,,,0.5140616096005847,,,,,,,,,,,,,,
teamtowerkills,,,0.8159655261847629,,,0.5804120967239899,0.7117646256425091,-0.5138872047789044,,,,,,,,,,0.583660488305078,,,,,,,,,,,,0.5711758683293344,,,0.6527724209478104,1.0,-0.7123797139141785,0.6228002169733127,,0.7061185834547541,,,,,,,,,,,,0.5332712007969281,,0.6111948411915319,,,,,,,,,,,,,,
opptowerkills,,,-0.8159655261847633,,0.5077301435750299,,-0.5124791336559175,0.7107617107455724,,,,,,,,,,,0.5836604883050782,,,,,,,,,,,-0.5711758683293339,,,-0.6527724209478101,-0.7123797139141785,1.0,-0.5222891553409496,,,0.7061185834547545,,,,,,,,,,,,,-0.611194841191532,,,,,,,,,,,,,,
fbaron,,,,,,,0.5013172111311317,,,,,,,,,,,,,,,,,,,,,,,,,,0.5675333074043414,0.6228002169733127,-0.5222891553409496,1.0,,0.7216561022034295,-0.5166248357830169,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbarontime,,0.5522494768902163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teambaronkills,,,,,,,0.522881379388925,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7061185834547541,,0.7216561022034295,,1.0,,,,,,,,,,,0.5572329476277001,,0.5099899649514813,,,,,,,,,,,,,,,
oppbaronkills,,,,,,,,0.5218482300811804,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7061185834547545,-0.5166248357830169,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
dmgtochamps,,,,0.5977193166239074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9343461414465366,,-0.5123301152039239,-0.5916032078521444,,,,,0.7592122284612578,0.6183011451552087,0.7325039081487439,,0.760528720964988,,,,0.6083371226261498,,,,0.5072265361467599,,,,,
dmgtochampsperminute,,,,0.6546680606529038,,,,,,,,,0.5721709813498598,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9343461414465366,1.0,,-0.6279938546198793,-0.6824300032285808,,,,,0.5935135541125836,0.7288342539263015,0.5530816921570653,,0.7578416846894384,,,,0.7346909307089979,0.5657853358399356,,,0.6354473367232145,,,,,
wards,,0.5123821476136816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9076910126320634,0.8071823915418604,,,0.8880118428903491,0.8855483835050113,,,,,-0.5075366458451123,,,,-0.6896070849433508,-0.503079909766242,-0.5048550946164311,,-0.5444509705907759,-0.5619989290095203,,,,
wpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5123301152039239,-0.6279938546198793,0.9076910126320634,1.0,0.9625269416821611,,,0.8184159039513418,0.8265633521247665,,-0.5260304512656753,,,-0.7346662210583539,,,,-0.8341378812530937,-0.6124703551348791,-0.6166689191982454,,-0.6468408316433849,-0.6762928416519399,,-0.5115365914853388,-0.5092753367192839,
wardshare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5916032078521444,-0.6824300032285808,0.8071823915418604,0.9625269416821611,1.0,,,0.7073281772257698,0.7206925303889246,,-0.5961387781746103,,,-0.8131074736502237,,,,-0.8771328776425412,-0.6650657305551109,-0.6379047791721856,,-0.6991344781864062,-0.68193437909652,,-0.5350042995442366,-0.5196690128663645,
wardkills,,0.5959480200064051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9260246932790293,,,0.5386543130077652,,0.52741783963317,,,,,,,,,,,,,,,
wcpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9260246932790293,1.0,,,,,,,,,,,,,,,,,,,,
visionwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8880118428903491,0.8184159039513418,0.7073281772257698,,,1.0,0.9873408268685177,,,,,,,,,-0.5830602968152265,,,,,,,,,
visionwardbuys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8855483835050113,0.8265633521247665,0.7206925303889246,,,0.9873408268685177,1.0,,,,,,,,,-0.6044577071697403,,,,,,,,,
totalgold,,0.8285935009434693,,0.5108758659556117,,,,,,,,,,,,,,0.5348381426684162,,,,,,,,,,,,,,,,,,,,0.5572329476277001,,0.7592122284612578,0.5935135541125836,,,,0.5386543130077652,,,,1.0,0.6037720986154557,0.9649949846999494,,0.6624503408227673,,,,,,,,,,,,,
earnedgpm,,,0.5023353663135229,0.7095573549652254,,,,,,,,,0.7086658102247556,,,,,,,,,,,,,,,,,,,,,0.5332712007969281,,,,,,0.6183011451552087,0.7288342539263015,,-0.5260304512656753,-0.5961387781746103,,,,,0.6037720986154557,1.0,0.5141198033488322,0.5465669313988244,0.6811739861691432,,,,0.721462651873744,0.5956909384806762,,,0.7307503704363884,,,,,
goldspent,,0.8426770681075274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5099899649514813,,0.7325039081487439,0.5530816921570653,,,,0.52741783963317,,,,0.9649949846999494,0.5141198033488322,1.0,,0.6581733893156915,,,,,,,,,,,,,
gspd,,,0.5248922492363883,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5209099068815178,,,0.5140616096005847,0.6111948411915319,-0.611194841191532,,,,,,,,,,,,,,,0.5465669313988244,,1.0,,,,,,,,,,,0.6165898825521507,,,
minionkills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.760528720964988,0.7578416846894384,-0.5075366458451123,-0.7346662210583539,-0.8131074736502237,,,,,0.6624503408227673,0.6811739861691432,0.6581733893156915,,1.0,,,,0.8730956433185938,0.6036011956495492,0.5608170188097108,,0.6522070875020312,0.602868185436759,,0.5089691017987275,,
monsterkills,,,,,,,,,,,,,,,,0.5495102271797903,,,,0.5209263924247437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9710336457098434,0.6380927314902898,,,,,,,,,,
monsterkillsownjungle,,,,,,,,,,,,,,,,0.5436932803084514,,,,,0.5165177905434142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9710336457098434,1.0,0.5212094566763468,,,,,,,,,,
monsterkillsenemyjungle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6380927314902898,0.5212094566763468,1.0,,,,,,,,,,
cspm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6083371226261498,0.7346909307089979,-0.6896070849433508,-0.8341378812530937,-0.8771328776425412,,,-0.5830602968152265,-0.6044577071697403,,0.721462651873744,,,0.8730956433185938,,,,1.0,0.7617538508376127,0.6899301696667023,,0.7911401553795376,0.708748459965082,,0.5828054020629125,0.5503393858592168,
goldat10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5657853358399356,-0.503079909766242,-0.6124703551348791,-0.6650657305551109,,,,,,0.5956909384806762,,,0.6036011956495492,,,,0.7617538508376127,1.0,0.5757423402277584,,0.9052857521772031,0.5679713085968481,,0.624150737898111,,
oppgoldat10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5048550946164311,-0.6166689191982454,-0.6379047791721856,,,,,,,,,0.5608170188097108,,,,0.6899301696667023,0.5757423402277584,1.0,,0.5679713085968482,0.9052857521772029,,,0.6241507378981107,
gdat10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.7690365599312393,,,0.6000623001945361
goldat15,,,,0.5202254933032382,,,,,,,,,0.5496856020271227,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5072265361467599,0.6354473367232145,-0.5444509705907759,-0.6468408316433849,-0.6991344781864062,,,,,,0.7307503704363884,,,0.6522070875020312,,,,0.7911401553795376,0.9052857521772031,0.5679713085968482,,1.0,0.5465324544073973,,0.5689559529094551,,
oppgoldat15,,,,,,,,,,,,,,0.5496856020271226,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5619989290095203,-0.6762928416519399,-0.68193437909652,,,,,,,,,0.602868185436759,,,,0.708748459965082,0.5679713085968481,0.9052857521772029,,0.5465324544073973,1.0,,,0.5689559529094551,
gdat15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5077278137621419,,,,,,,,,,,,,,,,,,,,,,0.6165898825521507,,,,,,,,0.7690365599312393,,,1.0,,,
xpat10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5115365914853388,-0.5350042995442366,,,,,,,,,0.5089691017987275,,,,0.5828054020629125,0.624150737898111,,,0.5689559529094551,,,1.0,0.8861122470859035,
oppxpat10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5092753367192839,-0.5196690128663645,,,,,,,,,,,,,0.5503393858592168,,0.6241507378981107,,,0.5689559529094551,,0.8861122470859035,1.0,
xpdat10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6000623001945361,,,,,,1.0
